Year,Month,Date,Day,Temps_min,Temps_max,Rain,Evap,Sun_hours,Max_wind_dir,Max_wind_spd,Max_wind_time,Temp_at_9am,RH_at_9am,CLD_at_9am,Wind_dir_at_9am,Wind_spd_at_9am,MSLP_at_9am,Temp_at_3pm,RH_at_3pm,CLD_at_3pm,Wind_dir_at_3pm,Wind_spd_at_3pm,MSLP_at_3pm
2015,8,1,Sa,9.4,22.3,0,3.4,9.2,WNW,61,13:08,14.3,54,6,NW,15,1018.6,20.7,28,6,NW,28,1015.6
2015,8,2,Su,14.3,24.7,0,5.4,7.8,WNW,43,21:16,16.9,51,5,WNW,9,1015.1,23.8,30,5,NW,20,1010.4
2015,8,3,Mo,8.4,19.4,0,5.4,10.1,WSW,57,16:22,11.7,48,1,WNW,20,1015.2,19,29,1,WSW,17,1013.7
2015,8,4,Tu,8.3,15.1,0,3.8,4.6,WSW,33,21:07,8.9,57,7,W,19,1023,14.4,42,4,SSE,2,1018.9
2015,8,5,We,5,14.2,0,0.6,4.8,W,48,16:06,9.4,46,6,WNW,20,1014.5,13,46,6,WNW,19,1010.3
2015,8,6,Th,6.8,16.4,0,3.8,8.5,WSW,37,11:07,9.5,53,3,WNW,22,1016.5,14.3,39,7,S,11,1016.7
2015,8,7,Fr,6.7,18.5,0,2.8,10.1,WNW,33,9:00,10,60,1,W,26,1024,16.1,40,2,SSE,17,1021
2015,8,8,Sa,7.9,17.5,0,2.6,8.9,SSW,33,10:43,11,63,5,WNW,19,1024.7,16.3,44,1,SSE,24,1022.5
2015,8,9,Su,6.2,17.6,0,1.8,9.5,W,30,6:49,9.1,68,1,W,20,1024.8,16.3,56,1,E,13,1019.6
2015,8,10,Mo,8.6,20.6,0,2.6,10.2,NNE,33,16:49,11.8,66,1,W,13,1017.7,18.8,41,1,E,20,1012.9
2015,8,11,Tu,9.8,21,0,5,10.5,W,30,15:46,13.3,52,1,W,17,1014.6,20.4,27,1,WNW,9,1011.1
2015,8,12,We,8.4,17.5,0,3.8,8.7,NW,74,12:32,11.1,54,1,W,19,1007.9,16.2,37,1,WNW,28,1004
2015,8,13,Th,9.4,19.8,0,4.8,10.5,WSW,48,9:35,12.3,50,1,WSW,28,1014.9,19.3,23,1,SW,17,1014.7
2015,8,14,Fr,7.9,20.4,0,4,10.5,WSW,30,10:20,11.8,55,1,W,15,1025.1,18,38,1,E,19,1023.4
2015,8,15,Sa,8.2,18.1,0,3,7.3,W,30,0:07,12.4,63,3,WNW,20,1030.5,17,61,5,SSE,19,1028.8
2015,8,16,Su,10.5,19.8,0,3,9.2,NW,28,20:40,14,70,5,W,13,1027.4,17.4,63,4,NE,15,1021.4
2015,8,17,Mo,9.3,20.5,5.6,2.8,10.4,WSW,46,16:05,13.4,53,3,W,13,1017.1,20.4,29,1,NW,13,1013.3
2015,8,18,Tu,10.9,16.2,0,4.4,10.4,SW,39,6:00,12.6,40,1,WSW,20,1020.8,14.7,46,2,SSE,19,1021
2015,8,19,We,9,17,0,3.6,6.6,WNW,24,6:00,12.5,58,3,W,17,1027.2,16.4,54,6,E,13,1025
2015,8,20,Th,8.2,18.9,0,2.6,9.8,NE,31,14:47,12.1,71,1,WNW,11,1028.3,18.7,59,1,NE,20,1025
2015,8,21,Fr,9.4,21,0,3.8,9.4,NNE,31,16:28,13,73,0,WNW,13,1025.8,19.8,63,7,NE,15,1021.2
2015,8,22,Sa,12.9,28.3,0,4.2,9.4,NNW,33,13:26,19.8,45,2,N,19,1021,26.9,32,5,N,11,1016.2
2015,8,23,Su,15.4,18.5,2.4,6.4,0.2,NNW,22,0:14,15.6,85,7,N,7,1021.8,17.9,73,7,NNW,7,1018.4
2015,8,24,Mo,15.1,17.4,4.2,1.8,0.6,E,59,20:38,16.3,90,8,S,17,1018.4,16.4,95,7,SSE,9,1015
2015,8,25,Tu,12.5,19.9,54.4,5,4.4,NW,56,20:50,16.1,66,7,WNW,22,1013.4,18.7,53,7,W,20,1012.8
2015,8,26,We,12.3,20.2,5.2,2.8,6.3,SSW,28,1:38,16.3,80,7,SSE,13,1018.1,18.9,59,7,S,13,1017.8
2015,8,27,Th,11.6,20.5,0,3,4.3,W,52,18:12,15.1,87,7,W,9,1019.7,20.1,44,6,NW,17,1015.1
2015,8,28,Fr,10.6,20.8,0,2.8,9.2,WSW,48,9:25,14.6,48,3,W,22,1019.8,18.5,43,5,S,20,1018.9
2015,8,29,Sa,9,20.3,0,4.2,10.8,WSW,30,23:43,13,60,1,W,13,1022.7,20.1,31,2,WNW,15,1017.9
2015,8,30,Su,8.3,18.7,0,3.6,10.8,SSW,39,16:29,12.1,52,1,WNW,20,1020.3,18.1,44,3,S,22,1017.5
2015,8,31,Mo,9.6,19.7,0,4.8,10.9,SSE,35,15:13,13.9,48,1,WSW,15,1017.3,18.4,39,2,SSE,22,1013.8
2015,9,1,Tu,9,19.7,0,3.2,10.8,W,31,9:42,12.7,50,1,W,17,1015.8,17,39,1,ESE,13,1013.3
2015,9,2,We,8,18.8,0,4,10.4,WNW,31,23:46,11.9,61,5,W,11,1018,18.6,46,1,ENE,19,1012
2015,9,3,Th,11.2,20.8,2.8,5.6,8,SW,52,16:16,14.4,69,3,WNW,20,1006,20.6,28,6,WSW,24,1005.6
2015,9,4,Fr,12.5,19.5,20.4,4,5.7,S,48,11:22,13.7,92,7,SSW,19,1021.5,18.3,54,2,S,20,1020.5
2015,9,5,Sa,11.5,21.7,0,2.8,9.3,ESE,37,15:27,15.2,68,1,WNW,17,1022.3,18.7,53,5,SE,24,1019.6
2015,9,6,Su,12.7,17.5,0.4,5.4,1,ENE,24,16:12,14.6,84,7,NNE,11,1024.9,16,68,7,ENE,6,1021.9
2015,9,7,Mo,11.1,24.9,0.2,0.6,9.3,W,54,18:14,17.4,62,2,W,9,1018.3,22.7,32,4,W,15,1013.3
2015,9,8,Tu,10,20,0,6.8,11,W,52,14:06,13.3,42,1,WSW,30,1018.8,19.7,32,2,W,24,1015.7
2015,9,9,We,9.8,20.2,0,5,10.9,,,,15.4,48,1,W,20,1023.1,18.9,39,1,SSE,17,1022
2015,9,10,Th,11.3,19.6,0,4.8,6.5,SSW,37,9:34,15.5,59,1,WNW,13,1030.9,18.9,41,7,SSE,15,1029.8
2015,9,11,Fr,14,21.3,0,4,9.1,NNE,39,17:22,17.6,56,1,WNW,11,1032.1,20.5,44,0,NE,24,1027.6
2015,9,12,Sa,10.9,25.4,0,7.4,10.4,ENE,24,13:20,17.2,61,1,W,11,1028.5,21.3,51,5,E,19,1024.7
2015,9,13,Su,12.4,22.3,0,3.8,10.6,NNE,30,21:51,18.3,61,1,WNW,11,1028.5,21.4,60,1,E,20,1025
2015,9,14,Mo,15.3,23.6,0,5,10.7,NE,43,16:41,20.7,58,1,NNE,17,1025.9,21.4,59,1,NE,24,1020.5
2015,9,15,Tu,15.8,29.8,0,6.4,11,,,,23.5,33,1,NNE,9,1015.4,29.2,25,3,NNW,35,1009
2015,9,16,We,12.4,21.1,0,10.2,10.2,ESE,37,14:37,17.2,42,2,W,19,1017.7,19.3,60,3,ESE,26,1015
