City	Q1	Q2	Q3	Q4
Sydney	700.0	750.0	750.0	835.0
Rest of NSW	370.0	375.0	373.0	385.0
Melbourne	525.0	555.5	540.0	580.0
Rest of Vic.	300.0	295.0	287.0	302.0
Brisbane	460.0	474.9	471.0	485.0
Rest of Qld.	400.0	405.0	400.0	411.0
Adelaide	415.0	410.0	418.8	427.5
Rest of SA	265.0	261.0	255.0	275.0
Perth	550.0	540.0	550.0	555.0
Rest of WA	387.5	377.0	380.0	385.5
Hobart	367.0	345.0	350.0	365.0
Rest of Tas.	250.0	240.0	265.0	260.0
Darwin	590.0	568.5	565.0	582.5
Rest of NT	415.0	425.0	422.5	420.0
Canberra	555.0	550.0	560.0	570.0
